Id,Name,Label
30,біль,біль СТ [109 / 203] РЕ [117 / 603]
152,вчинок,вчинок СТ [103 / 201] РЕ [115 / 401]
191,гроші,гроші СТ [99 / 202] РЕ [135 / 1033]
203,день,день СТ [81 / 200] РЕ [128 / 1226]
220,добре,добре СТ [126 / 203] РЕ [218 / 691]
222,добро,добро СТ [94 / 200] РЕ [107 / 338]
233,друг,друг СТ [93 / 201] РЕ [173 / 1104]
238,думати,думати СТ [119 / 199] РЕ [112 / 423]
239,думка,думка СТ [126 / 209] РЕ [106 / 407]
255,жити,жити СТ [109 / 212] РЕ [128 / 475]
257,життя,життя СТ [125 / 212] РЕ [217 / 650]
388,кохання,кохання СТ [114 / 202] РЕ [99 / 210]
405,любов,любов СТ [126 / 206] РЕ [125 / 352]
406,людина,людина СТ [117 / 204] РЕ [238 / 581]
547,погано,погано СТ [109 / 198] РЕ [162 / 424]
548,погляд,погляд СТ [126 / 211] РЕ [113 / 342]
630,радість,радість СТ [104 / 210] РЕ [157 / 611]
641,робота,робота СТ [125 / 200] РЕ [144 / 520]
650,розум,розум СТ [104 / 211] РЕ [133 / 399]
662,світ,світ СТ [113 / 210] РЕ [124 / 453]
734,страх,страх СТ [126 / 206] РЕ [136 / 843]
799,хлопець,хлопець СТ [80 / 221] РЕ [125 / 471]
819,чоловік,чоловік СТ [100 / 213] РЕ [146 / 842]
832,щастя,щастя СТ [113 / 212] РЕ [161 / 578]
841,ROOT,ROOT СТ [841 / 841]
